experiment_id,experiment_name,model,prompt_version,hit_at_1,hit_at_3,hit_at_5,hit_at_10,recall_at_1,recall_at_3,recall_at_5,recall_at_10,mrr,mean_correctness,fully_correct_pct,partially_correct_pct,incorrect_pct,mean_faithfulness,fully_grounded_pct,mean_keyword_overlap,citation_correctness,citation_completeness,abstention_accuracy,hallucination_rate,mean_generation_s,mean_latency_s,p50_latency_s,p95_latency_s
v2_0_reproduced,V2.0 Baseline (Reproduced),qwen2.5:3b,v2_0,0.5556,0.7778,0.8333,0.9167,0.3319,0.5444,0.6472,0.7417,0.6898,0.9167,27.8,36.1,36.1,1.0833,52.8,0.4584,1.0,0.9444,1.0,0.0,2.95,3.06,2.62,7.16
v2_1_3b_improved_prompt,Ablation A: 3B + Improved Prompt,qwen2.5:3b,v2_1_improved,0.5556,0.7778,0.8333,0.9167,0.3319,0.5444,0.6472,0.7417,0.6898,1.1667,41.7,33.3,25.0,1.4167,69.4,0.484,1.0,0.9444,1.0,0.0,4.43,4.55,4.26,9.59
v2_1_7b_v2_0_prompt,Ablation B: 7B + V2.0 Prompt,qwen2.5:7b,v2_0,0.5556,0.7778,0.8333,0.9167,0.3319,0.5444,0.6472,0.7417,0.6898,1.0278,30.6,41.7,27.8,0.9722,44.4,0.5043,1.0,0.9444,1.0,0.0,10.59,10.72,10.98,16.62
v2_1_7b_improved_prompt,V2.1 Full System: 7B + Improved Prompt,qwen2.5:7b,v2_1_improved,0.5556,0.7778,0.8333,0.9167,0.3319,0.5444,0.6472,0.7417,0.6898,1.1389,41.7,30.6,27.8,1.4167,66.7,0.5292,1.0,0.9444,1.0,0.0,13.41,13.54,13.27,27.37
